Province_State,Country_Region,Last_Update,Confirmed,Deaths,Recovered,Active
Arunachal Pradesh,India,2020-06-11 03:33:41,57,0,1,56.0
Arunachal Pradesh,India,2020-06-12 05:09:52,61,0,4,57.0
Arunachal Pradesh,India,2020-06-13 03:33:14,61,0,4,57.0
Arunachal Pradesh,India,2020-06-14 03:33:15,67,0,4,63.0
Arunachal Pradesh,India,2020-06-15 03:33:14,87,0,4,83.0
Arunachal Pradesh,India,2020-06-16 04:33:09,91,0,7,84.0
Arunachal Pradesh,India,2020-06-17 04:33:21,95,0,7,88.0
Arunachal Pradesh,India,2020-06-18 04:33:18,99,0,7,92.0
Arunachal Pradesh,India,2020-06-19 04:33:17,103,0,10,93.0
Arunachal Pradesh,India,2020-06-20 04:33:19,103,0,11,92.0
Arunachal Pradesh,India,2020-06-21 04:33:19,135,0,14,121.0
Arunachal Pradesh,India,2020-06-22 04:33:20,135,0,15,120.0
Arunachal Pradesh,India,2020-06-23 04:33:22,139,0,21,118.0
Arunachal Pradesh,India,2020-06-24 04:33:28,148,0,22,126.0
Arunachal Pradesh,India,2020-06-25 05:26:54,158,0,38,120.0
Arunachal Pradesh,India,2020-06-26 04:33:43,160,1,38,121.0
Arunachal Pradesh,India,2020-06-27 04:33:35,172,1,42,129.0
Arunachal Pradesh,India,2020-06-28 04:34:04,177,1,54,122.0
Arunachal Pradesh,India,2020-06-29 04:33:44,182,1,60,121.0
Arunachal Pradesh,India,2020-06-30 04:33:48,187,1,61,125.0
Arunachal Pradesh,India,2020-07-01 04:33:52,191,1,62,128.0
Arunachal Pradesh,India,2020-07-02 04:33:46,195,1,66,128.0
Arunachal Pradesh,India,2020-07-03 04:33:54,195,1,66,128.0
Arunachal Pradesh,India,2020-07-04 04:33:51,252,1,75,176.0
Arunachal Pradesh,India,2020-07-05 04:33:46,259,1,76,182.0
Arunachal Pradesh,India,2020-07-06 04:33:57,269,1,78,190.0
Arunachal Pradesh,India,2020-07-07 03:35:36,269,1,78,190.0
